session_ID,User_ID,User_type,El_kWh,Duration_hours,Start_plugin_hour,month_plugin,weekdays_plugin,temp,wind_spd,clouds,traffic_density,Flex_3_6kW,Flex_7_2kW
1,AdO3-4,Private,0.3,0.05,10,Dec,Friday,-0.5,2.4,55,1247.4,0.0,0.174
2,AdO3-4,Private,0.87,0.136666667,10,Dec,Friday,-0.5,2.4,55,1247.4,0.0,0.174
3,AdO3-4,Private,29.87,8.216388889,11,Dec,Friday,-0.5,2.4,55,1380.4,0.0,0.0
4,AdO3-2,Private,15.56,24.41972222,16,Dec,Saturday,-2.2,1.9,61,1181.4,0.0,0.0
5,AdO3-2,Private,3.62,0.970555556,22,Dec,Monday,1.1,3.8,100,549.0,0.0,3.368
6,AdO3-2,Private,16.14,18.07777778,23,Dec,Monday,1.1,3.8,100,396.2,0.0,0.0
7,AdO3-2,Private,10.33,21.72083333,18,Dec,Tuesday,4.7,6.3,99,427.0,0.0,0.0
8,AdO3-4,Private,27.66,6.188055556,10,Dec,Wednesday,4.6,3.3,100,301.2,3.6,7.2
9,AdO3-2,Private,8.83,2.371111111,18,Dec,Wednesday,4.6,3.3,100,729.6,0.0,0.0
10,AdO3-2,Private,8.58,4.856111111,16,Dec,Saturday,2.8,3.3,93,915.8,0.0,0.0
11,AdO3-2,Private,15.95,15.42833333,23,Dec,Saturday,2.8,3.3,93,213.4,0.0,0.0
12,AdO3-2,Private,3.64,0.981111111,16,Dec,Sunday,1.1,2.8,74,797.2,0.0,3.424
13,AdO3-2,Private,9.79,13.45472222,22,Dec,Sunday,1.1,2.8,74,299.2,0.0,0.0
14,AdO3-4,Private,28.11,24.53388889,8,Jan,Wednesday,0.6,3.6,85,1242.4,0.0,0.0
15,Bl2-4,Private,14.64,4.879722222,19,Jan,Wednesday,0.6,3.6,85,716.8,3.6,7.2
16,AdO3-2,Private,2.0,16.37472222,15,Jan,Friday,6.4,4.1,100,2038.0,0.0,0.0
17,AdO3-4,Private,29.34,23.24166667,17,Jan,Saturday,5.3,2.2,100,919.0,0.0,0.0
18,Bl2-4,Private,14.77,23.58583333,18,Jan,Saturday,5.3,2.2,100,783.2,0.0,0.0
19,AdO1-2,Private,10.46,17.28666667,20,Jan,Saturday,5.3,2.2,100,394.8,0.0,6.35
20,AdO1-2,Private,3.92,3.479722222,18,Jan,Sunday,5.2,2.9,93,849.4,0.0,7.2
21,AdO1-2,Private,0.08,0.036944444,20,Jan,Monday,1.8,2.7,99,624.4,0.053,7.386
22,AdO1-2,Private,6.14,14.0,20,Jan,Monday,1.8,2.7,99,624.4,0.053,7.386
23,AdO1-2,Private,5.34,16.55194444,19,Jan,Tuesday,1.0,2.2,86,805.2,0.0,0.0
24,Bl2-4,Private,18.7,17.57194444,16,Jan,Wednesday,-0.1,2.4,88,1655.8,0.0,0.0
25,AdO1-2,Private,10.38,18.33777778,20,Jan,Wednesday,-0.1,2.4,88,695.6,0.0,7.2
26,Bl2-2,Shared,1.85,0.585,22,Jan,Wednesday,-0.1,2.4,88,349.8,,
27,AdO3-4,Private,0.34,0.056666667,23,Jan,Wednesday,-0.1,2.4,88,168.2,4.08,14.468
28,Share-12,Shared,5.1,0.831944444,16,Jan,Thursday,4.4,5.7,97,1656.8,0.0,0.0
29,AdO1-2,Private,8.35,18.63138889,23,Jan,Thursday,4.4,5.7,97,176.6,0.0,0.0
30,Share-12,Shared,11.7,1.917777778,15,Jan,Friday,1.4,7.0,94,2064.2,0.0,0.0
31,Share-4,Shared,7.28,4.500833333,17,Jan,Friday,1.4,7.0,94,1032.6,0.0,0.848
32,Share-8,Shared,16.79,14.88722222,18,Jan,Friday,1.4,7.0,94,865.0,0.0,5.56
33,Share-12,Shared,14.63,2.374166667,20,Jan,Friday,1.4,7.0,94,472.4,3.6,7.2
34,Share-4,Shared,5.51,1.576388889,12,Jan,Saturday,0.4,2.1,93,1057.8,0.0,0.0
35,Share-12,Shared,11.99,1.938611111,13,Jan,Saturday,0.4,2.1,93,1112.4,0.165,5.84
36,Share-4,Shared,6.56,2.669444444,15,Jan,Saturday,0.4,2.1,93,1156.8,0.0,1.968
37,Share-14,Shared,19.0,5.477222222,15,Jan,Saturday,0.4,2.1,93,1156.8,0.0,1.968
38,AdO1-2,Private,6.19,24.53638889,18,Jan,Saturday,0.4,2.1,93,790.0,0.0,0.0
39,AdO3-2,Private,16.5,16.50194444,21,Jan,Saturday,0.4,2.1,93,300.4,3.6,7.2
40,Share-4,Shared,5.72,3.818055556,12,Jan,Sunday,-1.0,4.3,89,681.2,0.0,0.0
41,Share-12,Shared,14.4,2.879722222,13,Jan,Sunday,-1.0,4.3,89,806.0,0.0,5.44
42,Share-8,Shared,18.48,3.311944444,15,Jan,Sunday,-1.0,4.3,89,1096.4,3.6,10.8
43,AdO3-2,Private,13.88,19.77722222,17,Jan,Sunday,-1.0,4.3,89,999.4,3.6,7.2
44,Bl2-4,Private,14.21,15.20972222,18,Jan,Monday,-0.7,5.1,91,847.8,0.0,0.0
45,Share-12,Shared,27.24,10.74611111,19,Jan,Monday,-0.7,5.1,91,785.8,0.0,0.0
46,AdO1-2,Private,4.09,16.47166667,21,Jan,Monday,-0.7,5.1,91,513.6,0.0,14.4
